专家,工作,单位
28347,工作,江西中医学院
28353,工作,北京交通大学
28361,工作,中国海洋大学
28365,工作,中国人民大学
28370,工作,南京晓庄学院
28379,工作,昆明理工大学
28384,工作,沈阳药科大学
28390,工作,同济大学
28396,工作,广州大学
28407,工作,中国科学院
28408,工作,武汉理工大学
28409,工作,合肥工业大学
28410,工作,西南财经大学
28412,工作,北京航空航天大学
28414,工作,南京林业大学
28419,工作,大连医科大学
28429,工作,电子科技大学
28430,工作,东北农业大学
28437,工作,青岛大学
28444,工作,南京农业大学
28446,工作,燕山大学
28448,工作,浙江大学
28450,工作,中国海洋大学
28453,工作,上海交通大学
28454,工作,武汉大学
28459,工作,北京林业大学
28463,工作,辽宁师范大学海华学院
28477,工作,上海超级计算中心
28484,工作,沈阳航空航天大学
28485,工作,中原工学院
28486,工作,南开大学
28492,工作,重庆邮电大学
28499,工作,东南大学
28500,工作,同济大学
28507,工作,中国科学院南海海洋研究所
28512,工作,西南交通大学
28519,工作,中国矿业大学
28521,工作,华中师范大学
28525,工作,中国科学技术大学
28528,工作,南京大学
28531,工作,复旦大学
28532,工作,西安理工大学
28536,工作,沈阳建筑大学
28539,工作,西安交通大学
28541,工作,北京大学第一医院
28550,工作,中国科学院
28559,工作,郑州大学
28560,工作,湘潭大学
28562,工作,中国科学技术大学
28572,工作,中北大学
28575,工作,南昌大学
28579,工作,哈尔滨工业大学
28582,工作,南京航空航天大学
28587,工作,北京航空航天大学
28590,工作,西北大学
28597,工作,辽宁大学
28599,工作,中国科学院
28606,工作,上海交通大学
28609,工作,中国科学院金属研究所
28610,工作,北京安贞医院
28614,工作,吉林大学
28617,工作,浙江大学
28621,工作,广东工业大学
28624,工作,西北工业大学
28635,工作,中国中医科学院眼科医院
28636,工作,东北大学
28639,工作,沈阳农业大学
28642,工作,浙江大学
28654,工作,宁波大学
28655,工作,中国石油大学(北京)
28660,工作,电子科技大学
28662,工作,云南民族大学
28665,工作,河南理工大学
28675,工作,南通大学
28676,工作,东华理工大学长江学院
28680,工作,兰州理工大学
28681,工作,华南理工大学
28682,工作,解放军总医院
28686,工作,中国石油大学(北京)
28689,工作,东南大学
28690,工作,中国科学院
28692,工作,华侨大学
28696,工作,中国科学院
28697,工作,中央财经大学
28699,工作,上海交通大学
28706,工作,西安科技大学
28711,工作,中国传媒大学
28713,工作,中国科学院遗传与发育生物学研究所
28716,工作,中国石油大学
28719,工作,华东师范大学
28723,工作,大连理工大学
28726,工作,昆明理工大学
28729,工作,南京航空航天大学
28730,工作,中国药科大学
28732,工作,东南大学
28733,工作,安徽中医学院
28739,工作,太原理工大学
28741,工作,同济大学
28751,工作,中国石油大学
28752,工作,昆明理工大学
28756,工作,北京工业大学
28757,工作,同济大学
28758,工作,井冈山大学
28765,工作,北京航空航天大学
28767,工作,南京大学
28768,工作,华中科技大学
28776,工作,河北联合大学轻工学院
28805,工作,浙江大学
28807,工作,天津大学
28819,工作,重庆大学
28826,工作,中国科学院
28843,工作,南开大学
28850,工作,湖南大学
28860,工作,华东师范大学
28872,工作,电子科技大学
28889,工作,重庆大学
28915,工作,江南大学
28916,工作,华东理工大学
28917,工作,中国科学技术大学
28919,工作,重庆大学
28922,工作,同济大学
28924,工作,中国科学院宁波材料技术与工程研究所
28928,工作,华东师范大学
28931,工作,陕西省机械研究院
28935,工作,清华大学
28937,工作,沈阳航空航天大学
28938,工作,西北农林科技大学
28941,工作,吉林大学
28951,工作,北京工业大学
28959,工作,中国科学院
28960,工作,东南大学
28961,工作,合肥工业大学
28964,工作,中国科学院
28965,工作,沈阳化工大学
28973,工作,江西财经大学
28978,工作,武汉大学
28979,工作,南开大学
28981,工作,广东外语外贸大学
28983,工作,华中科技大学
28986,工作,东南大学
28999,工作,甘肃农业大学
29001,工作,蚌埠学院
29009,工作,中国科学院地理科学与资源研究所
29010,工作,西安交通大学
29024,工作,电子科技大学
29026,工作,浙江大学
29029,工作,东南大学
29034,工作,北京大学
29041,工作,东北大学
29048,工作,中国科学院
29052,工作,安徽理工大学
29056,工作,东北林业大学
29059,工作,天津商业大学
29061,工作,中国科学院上海生命科学研究院
29064,工作,南京农业大学
29076,工作,中国科学院
29078,工作,江苏大学
29080,工作,中国科学院
29082,工作,河北联合大学轻工学院
29086,工作,中国科学院上海硅酸盐研究所
29087,工作,中国科学院
29090,工作,西南交通大学
29091,工作,中国科学院
29098,工作,华南农业大学
29099,工作,北京工业大学
29107,工作,四川大学
29113,工作,南京大学
29114,工作,安徽理工大学
29116,工作,中国科学院国家天文台
29119,工作,东北师范大学
29138,工作,淮海工学院
29149,工作,南京审计学院
29150,工作,新疆农业大学
29155,工作,北京科技大学
29160,工作,中国科学技术大学
29163,工作,中南大学
29169,工作,南京理工大学
29184,工作,华中科技大学
29185,工作,陕西科技大学
29186,工作,中国科学院自动化研究所
29187,工作,中国科学院福建物质结构研究所
29194,工作,湖南省矿产测试利用研究所
29200,工作,湖南大学
29201,工作,复旦大学
29206,工作,东南大学
29210,工作,重庆邮电大学
29221,工作,上海交通大学
29228,工作,西南交通大学
29237,工作,安徽师范大学
29241,工作,中国科学院自动化研究所
29249,工作,四川农业大学
29251,工作,兰州大学
29262,工作,中国科学院
29264,工作,北京理工大学
29267,工作,吉林大学
29269,工作,山东师范大学历山学院
29295,工作,北京邮电大学
29299,工作,中国科学院过程工程研究所
29307,工作,清华大学
29314,工作,华中科技大学
29319,工作,北京科技大学
29323,工作,大连医科大学
29324,工作,湖南大学
29325,工作,济南大学
29330,工作,华南理工大学
29333,工作,上海海事大学
29334,工作,中国石油大学
29341,工作,中南财经政法大学
29343,工作,重庆大学
29347,工作,南京航空航天大学
29348,工作,中国气象局气象探测中心
29351,工作,中南大学
29353,工作,南开大学
29354,工作,大连工业大学
29355,工作,中南财经政法大学
29362,工作,中国科学技术大学
29368,工作,西北农林科技大学
29372,工作,北京大学
29378,工作,山东科技大学泰山科技学院
29383,工作,湖北工业大学
29384,工作,浙江大学
29385,工作,解放军总医院
29391,工作,重庆大学
29394,工作,中国农业科学院
29395,工作,中南大学
29407,工作,北京大学
29409,工作,中国科学院
29410,工作,中国科学技术大学
29420,工作,厦门大学
29421,工作,大连医科大学
29436,工作,武汉理工大学
29443,工作,中国科学院上海生命科学研究院
29444,工作,中南大学
29447,工作,深圳大学
29449,工作,哈尔滨工业大学
29450,工作,浙江大学
29451,工作,吉首大学
29453,工作,河南理工大学
29454,工作,太原理工大学
29458,工作,江西农业大学
29459,工作,湖南师范大学
29463,工作,上海外国语大学
29469,工作,吉林大学
29475,工作,南通市环境科学研究所（南通市环境监测中心站）
29494,工作,安徽农业大学
29497,工作,山西农业大学
29500,工作,南京审计学院
29501,工作,中国科学院计算技术研究所
29502,工作,北京化工大学
29504,工作,北京语言大学
29516,工作,复旦大学
29517,工作,武汉大学
29520,工作,河南理工大学
29528,工作,武汉大学
29531,工作,武汉理工大学
29539,工作,中国科学院遥感应用研究所
29540,工作,复旦大学
29541,工作,北京航空航天大学
29565,工作,云南大学
29566,工作,华东理工大学
29567,工作,北京科技大学
29572,工作,同济大学
29576,工作,中国科学院
29578,工作,陕西中医学院
29588,工作,南京航空航天大学
29589,工作,广州中医药大学
29591,工作,暨南大学
29592,工作,郑州大学
29600,工作,中国社会科学院
29604,工作,南京工业大学
29605,工作,郑州大学
29613,工作,内蒙古工业大学
29621,工作,河海大学
29624,工作,华北科技学院
29626,工作,东华理工大学长江学院
29629,工作,中国人民大学
29659,工作,郑州大学
29676,工作,浙江大学
29682,工作,北京化工大学
29686,工作,西安电子科技大学
29692,工作,华东师范大学
29701,工作,武汉工程大学
29702,工作,北京联合大学
29703,工作,武汉大学
29715,工作,兰州大学
29721,工作,重庆车辆检测研究院有限公司
29727,工作,四川大学
29732,工作,上海交通大学
29736,工作,湖南大学
29739,工作,成都信息工程学院
29742,工作,华南农业大学
29744,工作,华南理工大学
29752,工作,上海交通大学
29754,工作,中国科学院新疆生态与地理研究所
29768,工作,南京林业大学
29778,工作,西南科技大学
29787,工作,中国科学院
29788,工作,东南大学
29790,工作,中国科学院
29800,工作,吉林大学
29806,工作,海南大学
29812,工作,吉林大学
29816,工作,吉林大学
29820,工作,中国科学院华南植物园
29822,工作,山东科技大学泰山科技学院
29832,工作,重庆医科大学
29835,工作,中南大学
29841,工作,华中科技大学
29843,工作,中南大学
29845,工作,华南理工大学
29855,工作,中国地质大学
29864,工作,上海交通大学
29875,工作,五邑大学
29877,工作,西安电子科技大学
29881,工作,西南交通大学
29883,工作,上海交通大学
29886,工作,四川大学
29888,工作,东南大学
29890,工作,西南交通大学
29896,工作,清华大学
29904,工作,西南石油大学
29906,工作,东南大学
29908,工作,电子科技大学
29911,工作,南京理工大学
29919,工作,中山大学
29920,工作,中国农业大学
29926,工作,湖南工艺美术职业学院
29927,工作,湘潭大学
29930,工作,电子科技大学
29934,工作,华中科技大学
29948,工作,东华理工大学长江学院
29952,工作,厦门大学
29957,工作,南京航空航天大学
29981,工作,华北电力大学
29991,工作,北京中日友好医院
29997,工作,华中科技大学
30000,工作,暨南大学
30001,工作,华东理工大学
30002,工作,吉林大学
30003,工作,三峡大学
30014,工作,中国矿业大学（北京）
30015,工作,华中农业大学
30017,工作,中国科学院
30020,工作,南京工业大学
30031,工作,中山大学
30033,工作,北京306医院
30038,工作,同济大学
30043,工作,中国海洋大学
30044,工作,中国科学院
30048,工作,中国科学院
30052,工作,辽宁大学
30053,工作,中国农业大学
30059,工作,江苏大学
30060,工作,北京大学
30062,工作,长安大学
30065,工作,浙江工业大学之江学院
30069,工作,长安大学
30070,工作,中国科学院
30082,工作,上海交通大学
30086,工作,西南交通大学
30088,工作,西北工业大学
30089,工作,中国科学技术大学
30090,工作,陕西师范大学
30093,工作,中南林业科技大学
30098,工作,东南大学
30103,工作,东华大学
30110,工作,华南理工大学
30111,工作,国家纳米科学中心
30112,工作,西南大学
30116,工作,中国科学院
30121,工作,合肥工业大学
30122,工作,哈尔滨工程大学
30124,工作,北京大学
30126,工作,复旦大学
30127,工作,同济大学
30142,工作,集美大学诚毅学院
30143,工作,扬州大学广陵学院
30144,工作,北京语言大学
30150,工作,南京大学
30151,工作,安徽师范大学
30152,工作,华南农业大学
30153,工作,西安电子科技大学
30160,工作,合肥工业大学
30161,工作,中国医学科学院基础医学研究所
30169,工作,广东财经大学
30174,工作,江苏大学
30184,工作,华中科技大学
30186,工作,西北农林科技大学
30196,工作,河南理工大学
30201,工作,中南民族大学
30203,工作,北京化工大学
30204,工作,东北师范大学
30205,工作,江苏省泰兴人民医院
30212,工作,南昌大学
30228,工作,武汉大学
30231,工作,解放军总医院
30244,工作,中国社会科学院
30247,工作,东北农业大学
30248,工作,哈尔滨工业大学
30254,工作,国家海洋技术中心
30255,工作,上海交通大学
30257,工作,厦门大学
30260,工作,广东外语外贸大学
30262,工作,中央财经大学
30265,工作,中国铁道科学研究院
30270,工作,中国科学技术大学
30273,工作,北京大学
30276,工作,中原工学院
30277,工作,浙江大学
30282,工作,济南大学泉城学院
30286,工作,安徽农业大学
30289,工作,浙江大学
30291,工作,景德镇陶瓷学院
30292,工作,河北北方学院
30295,工作,北京语言大学
30296,工作,国家林业局北京林业机械研究所
30298,工作,西北工业大学
30299,工作,东北大学
30300,工作,同济大学
30301,工作,中南大学
30308,工作,上饶市林业科学研究所
30336,工作,华南理工大学
30348,工作,西南科技大学
30352,工作,中国科学院
30358,工作,南京大学
30360,工作,河海大学
30361,工作,上海交通大学
30367,工作,上海交通大学
30369,工作,中国科学技术大学
30371,工作,南开大学
30379,工作,河海大学
30390,工作,石河子大学
30399,工作,哈尔滨工业大学
30402,工作,南开大学
30404,工作,沈阳建筑大学
30412,工作,大连理工大学
30414,工作,南京理工大学
30431,工作,商洛学院
30432,工作,复旦大学
30434,工作,北京化工大学
30444,工作,广东外语外贸大学
30455,工作,西安电子科技大学
30460,工作,西北农林科技大学
30461,工作,上海大学
30465,工作,华中科技大学
30480,工作,西安电子科技大学
30481,工作,北京第二外国语学院
30496,工作,武汉工程大学
30498,工作,浙江大学
30500,工作,华北电力大学
30515,工作,扬州大学广陵学院
30516,工作,中国科学院地理科学与资源研究所
30518,工作,西南财经大学
30524,工作,上海理工大学
30532,工作,南方医科大学
30534,工作,东北林业大学
30549,工作,重庆大学
30553,工作,中国科学技术大学
30554,工作,华中农业大学
30555,工作,暨南大学
30556,工作,北京工业大学
30564,工作,江苏大学
30566,工作,中国人民大学
30572,工作,大连理工大学
30573,工作,扬州大学
30575,工作,华中农业大学
30578,工作,淮阴师范学院
30592,工作,四川农业大学
30594,工作,江苏大学
30603,工作,中国邮政集团公司石家庄邮电职业技术学院
30611,工作,西北农林科技大学
30620,工作,浙江理工大学
30624,工作,大连理工大学
30631,工作,南京邮电大学
30637,工作,福建师范大学协和学院
30639,工作,东北师范大学
30647,工作,四川大学
30651,工作,西北工业大学
30654,工作,北京科技大学
30660,工作,华中科技大学
30664,工作,成都信息工程学院
30666,工作,中南大学
30669,工作,南京农业大学
30671,工作,中国邮政集团公司石家庄邮电职业技术学院
30673,工作,中国科学院
30674,工作,华中农业大学
30675,工作,中山大学
30676,工作,东北大学
30677,工作,华中师范大学
30679,工作,南京理工大学
30680,工作,天津商业大学
30681,工作,清华大学
30683,工作,江苏科技大学
30685,工作,东北林业大学
30686,工作,上海交通大学
30688,工作,湖北工业大学
30690,工作,上海市地质调查研究院
30692,工作,浙江省环境保护科学设计研究院
30698,工作,江汉大学
30702,工作,四川省环境保护科学研究院
30705,工作,上海交通大学
30708,工作,大连理工大学
30714,工作,安徽理工大学
30716,工作,河南大学民生学院
30726,工作,烟台大学文经学院
30729,工作,华中科技大学
30730,工作,长安大学
30743,工作,中国人民大学
30746,工作,电子科技大学
30747,工作,中国科学院
30755,工作,东南大学
30780,工作,哈尔滨工业大学
30784,工作,昆明理工大学
30786,工作,东南大学
30793,工作,沈阳化工大学
30818,工作,中国石油大学
30819,工作,中国科学院
30822,工作,广西民族大学相思湖学院
30828,工作,中国地震局地震研究所
30836,工作,大连理工大学
30845,工作,卫生部北京医院
30848,工作,长安大学
30853,工作,河南理工大学
30858,工作,华中师范大学
30861,工作,哈尔滨工业大学
30863,工作,大连理工大学
30864,工作,中国矿业大学
30865,工作,上海交通大学
30868,工作,南京大学
30881,工作,北京航空航天大学
30882,工作,沈阳理工大学
30885,工作,河北工程大学科信学院
30886,工作,天津外国语大学
30897,工作,贵阳医学院
30902,工作,汕头大学
30904,工作,西南政法大学
30906,工作,西北农林科技大学
30910,工作,中国人民大学
30911,工作,中国社会科学院
30912,工作,中国科学院动物研究所
30919,工作,清华大学
30920,工作,西南交通大学
30929,工作,辽宁科技学院
30930,工作,华中科技大学
30931,工作,中国科学院自动化研究所
30942,工作,军事医学科学院
30944,工作,北京航空航天大学
30945,工作,西安电子科技大学
30948,工作,北京航空航天大学
30954,工作,上海交通大学
30955,工作,同济大学
30959,工作,东北农业大学
30960,工作,河南中医学院
30978,工作,河北农业大学
30986,工作,江苏大学
30987,工作,中国科学院合肥物质科学研究院
30998,工作,南京财经大学
31000,工作,吉林省农业资源与农业区划研究所
31003,工作,武汉科技大学城市学院
31004,工作,中国科学技术大学
31006,工作,北京工业大学
31010,工作,西北工业大学
31017,工作,华中科技大学
31019,工作,北京中日友好医院
31033,工作,天津大学
31035,工作,中国药科大学
31039,工作,福州大学
31043,工作,中国科学院上海硅酸盐研究所
31047,工作,华南理工大学
31050,工作,西北工业大学
31051,工作,华南师范大学
31058,工作,深圳大学
31060,工作,暨南大学
31068,工作,海南大学
31070,工作,南方医科大学
31077,工作,中国科学院
31083,工作,广西师范大学
31084,工作,湖南师范大学
31086,工作,重庆医科大学
31090,工作,北京工业大学
31091,工作,同济大学
31112,工作,吉首大学张家界学院
31114,工作,东北电力大学
31116,工作,大连理工大学
31117,工作,吉林大学
31119,工作,北京林业大学
31123,工作,中央财经大学
31125,工作,青岛农业大学
31126,工作,南开大学
31139,工作,青岛农业大学
31140,工作,内蒙古科技大学
31142,工作,西北大学
31148,工作,安徽建筑工业学院
31160,工作,中国人民大学
31164,工作,沈阳化工大学
31165,工作,华南理工大学
31168,工作,电子科技大学
31170,工作,东南大学
31179,工作,上海交通大学
31185,工作,广西大学
31191,工作,南京工程学院
31195,工作,上海交通大学
31196,工作,东华大学
31205,工作,同济大学
31212,工作,湖南大学
31225,工作,中国地质大学（北京）
31232,工作,吉林大学
31233,工作,山东农业大学
31235,工作,同济大学
31237,工作,哈尔滨工业大学
31240,工作,北京师范大学
31242,工作,山东科技大学泰山科技学院
31250,工作,西安交通大学
31258,工作,北京交通大学
31259,工作,华南理工大学
31261,工作,西北工业大学
31264,工作,中国地质大学
31267,工作,黑龙江中医药大学
31271,工作,上海交通大学
31273,工作,山东理工大学
31276,工作,陕西科技大学
31280,工作,中国中医科学院中药研究所
31294,工作,内蒙古自治区矿产实验研究所
31296,工作,太原理工大学
31300,工作,河南农业大学
31306,工作,北京理工大学
31311,工作,西安交通大学
31313,工作,大连理工大学
31324,工作,重庆大学
31327,工作,云南农业大学
31329,工作,太原理工大学
31337,工作,上海交通大学
31353,工作,南京审计学院
31360,工作,华南师范大学
31369,工作,吉林大学
31372,工作,电子科技大学
31374,工作,湘潭大学
31379,工作,中国科学院
31386,工作,长安大学
31388,工作,复旦大学
31392,工作,清华大学
31395,工作,中南大学
31397,工作,南华大学
31400,工作,武汉纺织大学
31402,工作,西南石油大学
31403,工作,西安电子科技大学
31406,工作,兰州大学
31408,工作,北京积水潭医院
31414,工作,湖南工艺美术职业学院
31418,工作,复旦大学
31423,工作,南京航空航天大学
31424,工作,重庆工商大学
31427,工作,长江大学工程技术学院
31428,工作,中山大学
31430,工作,江苏大学
31431,工作,安徽理工大学
31438,工作,浙江大学
31442,工作,南京航空航天大学
31459,工作,山西省农业科学院经济作物研究所
31465,工作,中南大学
31466,工作,大连理工大学
31467,工作,青岛科技大学
31470,工作,华北电力大学
31473,工作,西安科技大学
31484,工作,吉林大学
31496,工作,北京工业大学
31497,工作,合肥工业大学
31509,工作,兰州大学
31513,工作,中国科学院
31530,工作,北京第二外国语学院
31532,工作,吉林建筑工程学院
31545,工作,电子科技大学
31555,工作,浙江大学
31558,工作,上海大学
31562,工作,华东理工大学
31569,工作,长安大学
31572,工作,中国民航大学（中国民用航空学院）
31581,工作,大连理工大学
31582,工作,河南科技学院新科学院
31587,工作,中国农业大学
31589,工作,大连海事大学
31591,工作,南开大学
31592,工作,西安交通大学
31593,工作,华中农业大学
31594,工作,同济大学
31596,工作,济南大学
31597,工作,中山大学
31598,工作,中国科学院
31607,工作,中国科学院
31610,工作,中国中医科学院广安门医院
31618,工作,对外经济贸易大学
31620,工作,华南农业大学
31626,工作,哈尔滨工业大学
31629,工作,清华大学
31634,工作,山东师范大学历山学院
31645,工作,东北林业大学
31646,工作,广西中医药大学
31652,工作,东北农业大学
31660,工作,苏州大学
31661,工作,华中科技大学
31664,工作,海南大学
31669,工作,济南大学泉城学院
31671,工作,山东农业大学
31686,工作,长江大学工程技术学院
31690,工作,东华理工大学
31705,工作,武汉大学
31715,工作,中南民族大学
31717,工作,中国科学院
31718,工作,山东师范大学历山学院
31721,工作,西北大学
31723,工作,沈阳农业大学
31727,工作,长沙理工大学城南学院
31734,工作,东南大学
31741,工作,南方医科大学
31747,工作,湖南师范大学
31762,工作,北京大学
31764,工作,首都医科大学
31769,工作,青海民族大学
31773,工作,中国科学院自动化研究所
31776,工作,重庆工商大学
31782,工作,武汉理工大学
31784,工作,西安电子科技大学
31791,工作,北京大学
31797,工作,中国科学院自动化研究所
31802,工作,西南石油大学
31812,工作,福建师范大学协和学院
31813,工作,中国科学院
31816,工作,吉林大学
31818,工作,中国社会科学院
31825,工作,华南农业大学
31829,工作,安徽财经大学商学院
31830,工作,杭州师范大学
31834,工作,对外经济贸易大学
31838,工作,电子科技大学
31839,工作,西北工业大学
31849,工作,吉林大学
31853,工作,东南大学
31854,工作,电子科技大学
31863,工作,西北农林科技大学
31864,工作,济南大学泉城学院
31870,工作,中国石油大学
31874,工作,北京理工大学
31889,工作,中国科学院
31893,工作,中国地质大学（北京）
31904,工作,长江大学工程技术学院
31907,工作,华东理工大学
31915,工作,江南大学
31918,工作,安徽理工大学
31920,工作,河北理工大学
31929,工作,浙江大学
31930,工作,上海市纳米科技与产业发展促进中心
31931,工作,中国农业大学
31932,工作,工业和信息化部电子第五研究所
31934,工作,西北大学
31941,工作,北京工业大学
31942,工作,中国科学院
31946,工作,上海交通大学
31959,工作,陕西师范大学
31960,工作,华南理工大学
31964,工作,北京师范大学
31976,工作,湘潭大学
31982,工作,西南交通大学
31986,工作,长沙医学院
31993,工作,河南理工大学
31994,工作,华中科技大学
31997,工作,华东理工大学
32000,工作,东北电力大学
32002,工作,西北农林科技大学
32003,工作,黑龙江省农副产品加工机械化研究所
32014,工作,河南理工大学
32020,工作,中国科学院光电技术研究所
32021,工作,华东师范大学
32025,工作,天津理工大学
32034,工作,同济大学
32036,工作,温州大学
32038,工作,成都理工大学
32039,工作,大连理工大学
32040,工作,红河哈尼族彝族自治州农业科学研究所
32042,工作,山东科技大学
32048,工作,中国科学院
32052,工作,中北大学
32053,工作,内蒙古师范大学
32055,工作,华中科技大学
32065,工作,天津中医药大学
32066,工作,南京大学
32068,工作,甘肃农业大学
32070,工作,大连理工大学
32075,工作,电子科技大学
32082,工作,河北理工大学
32091,工作,中国海洋大学
32093,工作,中山大学
32094,工作,辽宁师范大学海华学院
32098,工作,华中科技大学
32099,工作,长沙理工大学城南学院
32100,工作,中国科学院
32103,工作,西安理工大学
32104,工作,长安大学
32107,工作,山东大学
32117,工作,武汉工业学院
32122,工作,北京工业大学
32124,工作,暨南大学
32137,工作,青岛大学
32139,工作,浙江工业大学之江学院
32141,工作,电子科技大学
32145,工作,上海交通大学
32148,工作,北京军区总医院
32151,工作,清华大学
32155,工作,交通运输部天津水运工程科学研究所
32159,工作,北京交通大学
32160,工作,上海交通大学
32161,工作,上海交通大学
32163,工作,华南农业大学
32168,工作,南京邮电大学通达学院
32170,工作,南开大学
32173,工作,福建师范大学协和学院
32174,工作,上海交通大学
32179,工作,武汉大学
32181,工作,陕西科技大学
32186,工作,太原科技大学
32189,工作,三峡大学
32194,工作,大连理工大学
32197,工作,东南大学
32204,工作,北京林业大学
32206,工作,西安交通大学
32209,工作,天津工业大学
32214,工作,兰州大学
32215,工作,中国科学院
32221,工作,内蒙古工业大学
32227,工作,河南理工大学
32228,工作,河北工程大学
32231,工作,华北水利水电大学
32247,工作,南京工业职业技术学院
32253,工作,安徽师范大学
32254,工作,燕山大学
32262,工作,上海交通大学
32263,工作,北京军区总医院
32264,工作,山东农业大学
32266,工作,上海交通大学
32268,工作,山东科技大学泰山科技学院
32271,工作,哈尔滨工业大学
32272,工作,中国科学院
32278,工作,中国科学院
32283,工作,西安电子科技大学
32285,工作,东南大学
32290,工作,中国科学院
32291,工作,湖南财政经济学院
32292,工作,中国计量科学研究院
32299,工作,浙江大学
32303,工作,东南大学
32311,工作,中山大学
32312,工作,大连理工大学
32316,工作,山东理工大学
32321,工作,北京积水潭医院
32322,工作,中国科学院
32323,工作,北京大学
32324,工作,中国科学院过程工程研究所
32325,工作,武汉理工大学
32326,工作,哈尔滨医科大学
32327,工作,山西大同大学
32331,工作,陕西师范大学
32337,工作,华东师范大学
32339,工作,武汉工程大学
32342,工作,暨南大学
32343,工作,西南交通大学
32344,工作,哈尔滨工业大学
32349,工作,中南财经政法大学
32350,工作,北京理工大学
32353,工作,河北工程大学
32355,工作,华北水利水电大学
32356,工作,中国药科大学
32357,工作,中国科学技术大学
32358,工作,武汉大学
32362,工作,东北林业大学
32364,工作,北京大学
32370,工作,同济大学
32378,工作,四川大学
32380,工作,陕西师范大学
32383,工作,长安大学
32384,工作,长安大学
32395,工作,河北工程大学科信学院
32405,工作,西北工业大学
32412,工作,上海交通大学
32414,工作,华东师范大学
32415,工作,中国科学院
32416,工作,南开大学
32419,工作,中山大学
32420,工作,山东大学
32424,工作,沈阳建筑大学
32427,工作,甘肃农业大学
32436,工作,西安交通大学
32437,工作,南开大学
32443,工作,北京航空航天大学
32451,工作,山东省潍坊市农业科学院
32453,工作,沈阳农业大学
32468,工作,中国科学院自动化研究所
32469,工作,北京中日友好医院
32484,工作,西北农林科技大学
32491,工作,复旦大学
32496,工作,北京工业大学
32499,工作,山东大学
32514,工作,北京大学第一医院
32521,工作,北京军区总医院
32523,工作,南京师范大学
32530,工作,中国科学技术大学
32535,工作,华中科技大学
32538,工作,兰州交通大学
32540,工作,南京大学
32561,工作,南开大学
32565,工作,哈尔滨理工大学
32566,工作,内蒙古科技大学
32569,工作,中国矿业大学
32571,工作,工业和信息化部电子科学技术情报研究所
32572,工作,西南石油大学
32574,工作,南京理工大学
32579,工作,郑州大学
32590,工作,长春理工大学
32592,工作,东南大学
32594,工作,江西省医学科学研究所
32599,工作,辽宁工程技术大学
32605,工作,中国人民大学
32606,工作,吉林大学
32607,工作,江苏大学
32613,工作,中国科学院
32616,工作,华南理工大学
32630,工作,中国石油大学(北京)
32632,工作,中国人民武装警察部队北京市总队医院
32635,工作,湖南省核农学与航天育种研究所
32638,工作,南京大学
32641,工作,兰州大学
32645,工作,上海交通大学
32650,工作,华中农业大学
32651,工作,北京航空航天大学
32654,工作,大连理工大学
32655,工作,沈阳农业大学
32669,工作,中国矿业大学
32671,工作,中南大学
32672,工作,西南财经大学
32673,工作,陕西理工学院
32685,工作,长江大学
32690,工作,兰州理工大学
32691,工作,东北大学
32694,工作,山东科技大学
32697,工作,西北农林科技大学
32701,工作,沈阳农业大学
32705,工作,云南财经大学
32710,工作,山东大学
32712,工作,吉林大学
32721,工作,西南政法大学
32726,工作,西华师范大学
32730,工作,大连理工大学
32750,工作,苏州大学
32758,工作,大连理工大学
32763,工作,暨南大学
32776,工作,湖南农业大学
32777,工作,天津大学
32778,工作,中国科学院
32779,工作,南京大学
32781,工作,中国石油大学(北京)
32783,工作,河南大学民生学院
32786,工作,西北工业大学
32788,工作,清华大学
32795,工作,济南大学泉城学院
32804,工作,河北工业大学
32807,工作,东南大学
32809,工作,河北医科大学
32810,工作,哈尔滨工业大学
32816,工作,兰州理工大学
32819,工作,中国科学院软件研究所
32822,工作,莆田学院
32824,工作,首都医科大学
32825,工作,北京师范大学
32826,工作,佳木斯大学
32831,工作,中南民族大学
32833,工作,中国中医科学院西苑医院
32835,工作,上海大学
32836,工作,黑龙江农垦职业学院
32837,工作,中国科学院物理研究所
32840,工作,石河子大学
32844,工作,山西大同大学
32847,工作,中国科学院
32857,工作,华中科技大学
32860,工作,青岛大学
32869,工作,中国矿业大学（北京）
32870,工作,东华大学
32871,工作,华中农业大学
32878,工作,同济大学
32881,工作,北京科技大学
32883,工作,中南民族大学
32887,工作,南方医科大学
32892,工作,华中科技大学
32898,工作,苏州大学
32900,工作,武汉理工大学
32907,工作,北京大学
32908,工作,北京航空航天大学
32909,工作,北京朝阳医院
32916,工作,四川大学
32922,工作,西北大学
32924,工作,四川大学
32926,工作,山东大学
32928,工作,三峡大学
32929,工作,北京科技大学
32930,工作,北京语言大学
32939,工作,中国科学院计算技术研究所
32942,工作,鸡西大学
32943,工作,湖北省计量测试技术研究院
32950,工作,北京理工大学
32960,工作,西南大学
32962,工作,泰山医学院
32965,工作,南京邮电大学
32968,工作,同济大学
32971,工作,中央财经大学
32978,工作,东南大学
32980,工作,沈阳工程学院
32982,工作,天津大学
32985,工作,山东大学
32986,工作,燕山大学
32990,工作,复旦大学
33000,工作,电子科技大学
33004,工作,华中科技大学
33011,工作,中国医学科学院基础医学研究所
33015,工作,兰州大学
33018,工作,西安科技大学
33019,工作,南开大学
33022,工作,江苏大学
33027,工作,塔里木大学
33034,工作,二炮总医院
