单位
国家海洋局南海工程勘察中心
中国热带农业科学院橡胶研究所
福建省微生物研究所
黑龙江气象科学研究所
陕西省环境科学研究院
中国科学院水生生物研究所
成都纺织高等专科学校
西南财经大学
黑龙江省农业科学院齐齐哈尔分院
北京科技大学
辽宁省地质矿产研究院
江西省科学院应用物理研究所
四川理工学院
莱芜市职业技术学院
贵州省安顺市林业科学研究所
海南省林业科学研究所
交通运输部科学研究院
昆明冶金研究院
广东省工业技术研究院（广州有色金属研究院）
仲恺农业工程学院
中国科学院国家天文台长春人造卫星观测站
山东省果树研究所
中国科学院力学研究所
中南林业科技大学
广西大学
北京航空材料研究院
河南省农业科学院
中国矿业大学（北京）
中国农业科学院棉花研究所
苏州中材非金属矿工业设计研究院有限公司
江苏徐淮地区淮阴农业科学研究所
中国地震局工程力学研究所
国家安全生产监督管理总局研究中心
广东省石油化工研究院
北京体育大学
上海市计划生育科学研究所
常熟理工学院
长春工业大学
中国科学院成都生物研究所
湖南理工学院
水利部中国科学院水工程生态研究所
哈尔滨学院
青岛地球软件技术有限公司
河南省科学院生物研究所有限责任公司
北京市药品检验所
中国地质博物馆
中国科学院武汉病毒研究所
上海市房屋土地资源信息中心
钢铁研究总院
浙江省医学科学院
甘肃省机械科学研究院
中国科学院沈阳自动化研究所
江苏省环境监测中心
吉林省畜牧兽医科学研究院
四川省水利科学研究院
德宏师范高等专科学校
中国民航大学
中钢集团洛阳耐火材料研究院有限公司
昆明市农业科学研究院
杭州仪器仪表学会
复旦大学
天津市农业高新技术示范园区管理中心
长治医学院
毕节市林业科学研究所
淮南市农业科学研究所
贵州省果树科学研究所
安徽省农业科学院蚕桑研究所
安徽省农业科学院水稻研究所
中国艺术科技研究所
重庆市文物考古所
广西壮族自治区兽医研究所
安庆师范学院
吉林省水土保持科学研究院
山东省潍坊市农业科学院
山东师范大学历山学院
福建省艺术研究所
天津市农业质量标准与检测技术研究所
安徽省农业科学院畜牧兽医研究所
贵州财经学院
辽宁省交通科学研究院
云南省道路交通管理科学技术研究所
国家安全生产监督管理总局职业安全卫生研究所
上海市机械制造工艺研究所有限公司
北京农业生物技术研究中心
北京市水文地质工程地质大队
黑龙江省农垦总局红兴隆农业科学研究所
中国石油大学
广州医学院第二附属医院/广州医学院第二临床学院
河南工业大学
西安工程大学
中国科学院长春光学精密机械与物理研究所
北京清华长庚医院
云南省产品质量监督检验研究院
贵州省山地环境气候研究所
中国水产科学研究院淡水渔业研究中心
山东省农业科学院
中国科学院计算机网络信息中心
广州医科大学
苏州市职业大学
河北省建筑材料工业设计研究院
湖南科技学院
山东省医学影像学研究所
云南省环境科学研究院
天津药物研究院
烟台市农业机械科学研究所
西北大学
云南省寄生虫病防治所
重庆市建筑科学研究院
昆明理工大学
常州轻工职业技术学院
兴义民族师范学院
中国科学院电子学研究所
江苏大学
河北经贸大学
天津市国际生物医药联合研究院
国家海洋环境预报中心
湖北省十堰市妇幼保健院
南京艺术学院
连云港市海洋与水产科学研究所
威海职业学院
新疆新能源研究所
滁州职业技术学院
上海三爱富新材料股份有限公司
北京市水利自动化研究所
中国医科大学
江西省农业科学院水稻研究所
云南省烟草农业科学研究院
山东省医药工业研究所
吉林省机电研究设计院
中国地震局地球物理研究所
陕西科技大学
大连医科大学附属第一医院
西北核技术研究所
北京联合大学
浙江传媒学院
